,Stock1,Stock2
396,MMM,PHM
397,MMM,RSG
398,MMM,RHI
399,MMM,SNA
400,MMM,SWK
401,MMM,SBUX
402,MMM,TEL
403,MMM,VMC
404,MMM,DIS
405,MMM,WM
406,MMM,WY
407,ABT,A
408,ABT,ABC
409,ABT,BBY
410,ABT,CDNS
411,ABT,CTLT
412,ABT,ETSY
413,ABT,GNRC
414,ABT,ICE
415,ABT,IPGP
416,ABT,MXIM
417,ABT,MCK
418,ABT,MNST
419,ABT,PYPL
420,ABT,PENN
421,ABT,QRVO
422,ABT,SWKS
423,ABT,TGT
424,ABT,TER
425,ABT,TXN
426,ABT,TSCO
427,ABT,TRMB
428,ABT,UNP
429,ABBV,ABC
430,ABBV,CAH
431,ABBV,JNJ
432,ABBV,QRVO
433,ABBV,TER
434,ATVI,ABC
435,ATVI,CAG
436,ATVI,FAST
437,ATVI,PLD
438,ATVI,SWKS
439,ATVI,TMUS
440,AMD,AWK
441,AMD,CAG
442,AMD,NEE
443,AMD,RMD
444,AAP,BWA
445,AAP,DOW
446,AAP,GPC
447,AAP,HBI
448,AAP,SEE
449,AAP,VMC
450,AAP,WHR
451,AES,CMCSA
452,AES,IR
453,AES,NWL
454,AES,PM
455,AES,TEL
456,AES,TJX
457,AFL,ALK
458,AFL,CMA
459,AFL,DVN
460,AFL,EXC
461,AFL,HIG
462,AFL,HPE
463,AFL,HST
464,AFL,LNC
465,AFL,MTB
466,AFL,PXD
467,AFL,USB
468,AFL,UAA
469,AFL,UA
470,AFL,UNM
471,AFL,WBA
472,A,ABC
473,A,DRE
474,A,ETN
475,A,INFO
476,A,ITW
477,A,ICE
478,A,MCK
479,A,PLD
480,A,QRVO
481,A,TGT
482,A,TER
483,AKAM,AAL
484,AKAM,AVB
485,AKAM,BXP
486,AKAM,CPB
487,AKAM,CCL
488,AKAM,CARR
489,AKAM,CBOE
490,AKAM,CLX
491,AKAM,CAG
492,AKAM,CCI
493,AKAM,DLR
494,AKAM,DG
495,AKAM,EBAY
496,AKAM,EQR
497,AKAM,FAST
498,AKAM,FE
499,AKAM,GIS
500,AKAM,HRL
501,AKAM,KMI
502,AKAM,KR
503,AKAM,NEM
504,AKAM,NI
505,AKAM,NLOK
506,AKAM,NCLH
507,AKAM,NOV
508,AKAM,OXY
509,AKAM,OKE
510,AKAM,OTIS
511,AKAM,PLD
512,AKAM,RMD
513,AKAM,ROL
514,AKAM,UAL
515,AKAM,VNO
516,AKAM,XEL
517,AKAM,ZTS
518,ALK,BK
519,ALK,HAL
520,ALK,HIG
521,ALK,PEAK
522,ALK,HPE
523,ALK,HST
524,ALK,KIM
525,ALK,MTB
526,ALK,MPC
527,ALK,PXD
528,ALK,USB
529,ALK,UHS
530,ALK,WYNN
531,ALB,ALXN
532,ALB,ADI
533,ALB,CTVA
534,ALB,MXIM
535,ALB,MCK
536,ALB,PTC
537,ALB,TXN
538,ALB,TRMB
539,ARE,AMCR
540,ARE,ABC
541,ARE,AAPL
542,ARE,ADM
543,ARE,AJG
544,ARE,BBY
545,ARE,CAH
546,ARE,CPRT
547,ARE,DHI
548,ARE,DVA
549,ARE,DOV
550,ARE,ETN
551,ARE,EA
552,ARE,EMR
553,ARE,EFX
554,ARE,FAST
555,ARE,FIS
556,ARE,FRC
557,ARE,FMC
558,ARE,FTNT
559,ARE,FBHS
560,ARE,GRMN
561,ARE,GNRC
562,ARE,INFO
563,ARE,ITW
564,ARE,ICE
565,ARE,JBHT
566,ARE,KSU
567,ARE,KHC
568,ARE,KR
569,ARE,LEN
570,ARE,LOW
571,ARE,MMC
572,ARE,MAS
573,ARE,MXIM
574,ARE,MCK
575,ARE,MNST
576,ARE,NDAQ
577,ARE,ODFL
